Date,Open,High,Low,Close,Adj Close,Volume
2018-10-12,972.500000,998.549988,971.000000,990.924988,982.617126,4800160
2018-10-15,995.000000,1005.400024,985.150024,1004.030029,995.612305,6292984
2018-10-16,1001.500000,1009.099976,993.750000,996.375000,988.021484,4703002
2018-10-17,1003.049988,1006.500000,981.750000,987.299988,979.022522,3970398
2018-10-19,979.450012,990.424988,979.000000,983.875000,975.626282,4933674
2018-10-22,1007.000000,1010.000000,994.299988,999.450012,991.070740,10165580
2018-10-23,986.500000,999.450012,986.500000,992.424988,984.104614,9714282
2018-10-24,1002.000000,1004.400024,986.299988,996.125000,987.773560,9036168
2018-10-25,986.799988,1001.799988,981.224976,984.400024,976.146912,14923528
2018-10-26,984.400024,988.599976,974.500000,980.599976,972.378662,7577856
2018-10-29,982.049988,982.474976,947.599976,963.150024,955.075012,8522140
2018-10-30,962.500000,966.000000,949.650024,956.375000,948.356812,6914352
2018-10-31,951.025024,958.950012,942.500000,955.875000,947.861023,11724702
2018-11-01,965.000000,965.000000,948.000000,956.099976,948.084106,9814526
2018-11-02,963.000000,980.000000,956.000000,974.724976,966.552979,15046434
2018-11-05,974.950012,979.825012,969.000000,978.000000,969.800476,2852648
2018-11-06,977.500000,988.000000,971.474976,973.275024,965.115173,4242794
2018-11-07,980.500000,982.474976,975.000000,978.974976,970.767334,479380
2018-11-09,979.099976,979.950012,968.150024,972.700012,964.544983,5050810
2018-11-12,975.750000,981.000000,958.575012,960.525024,952.472046,3953882
2018-11-13,959.500000,968.849976,954.099976,963.875000,955.793945,6675210
2018-11-14,969.275024,980.000000,968.299988,978.875000,970.668213,13055318
2018-11-15,980.950012,988.650024,965.599976,987.575012,979.295227,5196262
2018-11-16,990.500000,1006.500000,990.000000,1002.150024,993.748047,7906608
2018-11-19,1005.500000,1010.500000,1000.950012,1006.950012,998.507874,6143214
2018-11-20,1006.500000,1009.799988,999.525024,1006.219971,997.783875,2852584
2018-11-21,1006.380005,1011.969971,1002.000000,1009.380005,1000.917480,3272802
2018-11-22,1006.619995,1017.500000,1000.080017,1002.750000,994.343018,6487276
2018-11-26,1006.950012,1026.000000,1006.030029,1024.900024,1016.307373,9092218
2018-11-27,1020.530029,1033.949951,1020.380005,1032.000000,1023.347839,6447720
2018-11-28,1032.500000,1049.300049,1030.050049,1044.619995,1035.861938,6510554
2018-11-29,1050.500000,1068.699951,1047.000000,1065.530029,1056.596680,15954318
2018-11-30,1065.000000,1068.780029,1055.000000,1064.219971,1055.297607,6520462
2018-12-03,1065.500000,1071.000000,1053.449951,1056.650024,1047.791138,5399928
